entity,entity_label,relation,relation_label,proxy,proxy_label,relation1,relation1_label,target,target_label
https://purl.net/climatesense/lack/entity/416d6cc517d9a00b3a4c80b57d7102a842e52fdb,Jean-Louis Borloo,https://purl.net/climatesense/lack/ns#memberOf,member of,https://purl.net/climatesense/lack/entity/e95bca605c44d8e74ed8720b93627355adbc4422,European Council on Foreign Relations (ECFR) Council,https://purl.net/climatesense/lack/ns#fundedBy,funded by,https://purl.net/climatesense/lack/entity/54a7fde4c7a62f91db3eca260470429474d1cd9a,Open Society Foundation
https://purl.net/climatesense/lack/entity/903c4d4ba886d8f3ddbf6b83a21a32ee92dbde71,Charles A. Schrock,https://purl.net/climatesense/lack/ns#memberOf,member of,https://purl.net/climatesense/lack/entity/2a83e081e43d34a7705e172cdfec70e4d2796ce0,Edison Electric Institute (EEI),https://purl.net/climatesense/lack/ns#hasPartner,has partner,https://purl.net/climatesense/lack/entity/98e031f0b61592c8b3f383c5d344d8f57ead67fe,POLITICO Pro
https://purl.net/climatesense/lack/entity/00cd60a154acaf1131ed2f0bad4c6e46d99db4d2,Carter G. Phillips,https://purl.net/climatesense/lack/ns#memberOf,member of,https://purl.net/climatesense/lack/entity/3a33214ef53ef7184c162e47a839b31bb3d0a616,Washington Legal Foundation (WLF),https://purl.net/climatesense/lack/ns#associatedWith,associated with,https://purl.net/climatesense/lack/entity/2814eea8a30731a857c5af98a6685f5256e65a37,Supreme Court
https://purl.net/climatesense/lack/entity/407f3d67a6144a89f56542fbca32ef4428002d8c,Dr. Hans Müller,https://purl.net/climatesense/lack/ns#employedBy,employed by,https://purl.net/climatesense/lack/entity/3d50f867b86f7db6e547632cc56e398205339950,BASF,https://purl.net/climatesense/lack/ns#hasPartner,has partner,https://purl.net/climatesense/lack/entity/3e00ee3a40645540be96bc3d86cfd5acf99e3340,Shell Chemicals Europe B.V.
https://purl.net/climatesense/lack/entity/407f3d67a6144a89f56542fbca32ef4428002d8c,Dr. Hans Müller,https://purl.net/climatesense/lack/ns#employedBy,employed by,https://purl.net/climatesense/lack/entity/5811b1abde71d3d924693968ae33bcabff5d81a2,CEFIC,https://purl.net/climatesense/lack/ns#contributedTo,contributed to,https://purl.net/climatesense/lack/entity/26be5c2af1eae4af6b5c5d2280117ad3c56b2062,EU Green Deal
https://purl.net/climatesense/lack/entity/7b2c972abeec329fec8aa04342ec1e543f896ae0,DG NEAR,https://purl.net/climatesense/lack/ns#associatedWith,associated with,https://purl.net/climatesense/lack/entity/b02297d0358a2a573e1f83f3e097153af6c29a48,EU Commission,https://purl.net/climatesense/lack/ns#associatedWith,associated with,https://purl.net/climatesense/lack/entity/38363eb6e78842c6a8f8fc562581c2ce97ef03ac,Climate Action Network Europe
https://purl.net/climatesense/lack/entity/08843e6b6679bcd51b5a512156b818da8769f353,Jean-Louis Touraine,https://purl.net/climatesense/lack/ns#leadsAt,leads at,https://purl.net/climatesense/lack/entity/107bf3b168e14a189bdccb0bd209b01f39c635f6,Sytral,https://purl.net/climatesense/lack/ns#hasLeader,has leader,https://purl.net/climatesense/lack/entity/718cd2ec8aa18daf7a66fa23cdd56c5ed10436b0,Jean-Charles Kohlhaas
